Sample_ID,Cell_type,Proportion,X_position,Y_position,type,Order
D5761.(3).|.070.|.DNA,Macrophage,0,10636,22526,Cortical layer IV - Neuropil,E
D5761.(3).|.070.|.DNA,Endothelial Tip,0,10636,22526,Cortical layer IV - Neuropil,F
D5761.(3).|.070.|.DNA,Endothelial Stalk,0.085570666,10636,22526,Cortical layer IV - Neuropil,G
D5761.(3).|.070.|.DNA,Choroid Plexus,0,10636,22526,Cortical layer IV - Neuropil,H
D5761.(3).|.070.|.DNA,Oligodendrocyte,0.000295686,10636,22526,Cortical layer IV - Neuropil,I
D5761.(3).|.070.|.DNA,Ependymal,0,10636,22526,Cortical layer IV - Neuropil,J
D5761.(3).|.070.|.DNA,Mural,0.048535773,10636,22526,Cortical layer IV - Neuropil,K
D5761.(3).|.046.|.Full.ROI,Neuron,0.503095617,6909,20242,Cortical layer V,A
D5761.(3).|.046.|.Full.ROI,Microglia,0.164759763,6909,20242,Cortical layer V,B
D5761.(3).|.046.|.Full.ROI,Astrocyte,0.107362157,6909,20242,Cortical layer V,C
D5761.(3).|.046.|.Full.ROI,Polydendrocyte,0.097034477,6909,20242,Cortical layer V,D
D5761.(3).|.046.|.Full.ROI,Macrophage,0.043216539,6909,20242,Cortical layer V,E
D5761.(3).|.046.|.Full.ROI,Endothelial Tip,0.017878903,6909,20242,Cortical layer V,F
D5761.(3).|.046.|.Full.ROI,Endothelial Stalk,0.034417158,6909,20242,Cortical layer V,G
D5761.(3).|.046.|.Full.ROI,Choroid Plexus,0,6909,20242,Cortical layer V,H
D5761.(3).|.046.|.Full.ROI,Oligodendrocyte,0.020362234,6909,20242,Cortical layer V,I
D5761.(3).|.046.|.Full.ROI,Ependymal,0.00407255,6909,20242,Cortical layer V,J
D5761.(3).|.046.|.Full.ROI,Mural,0.007800602,6909,20242,Cortical layer V,K
D5761.(3).|.056.|.Full.ROI,Neuron,0.571185564,9377,21609,Cortical layer V,A
D5761.(3).|.056.|.Full.ROI,Microglia,0.134325706,9377,21609,Cortical layer V,B
D5761.(3).|.056.|.Full.ROI,Astrocyte,0.094365176,9377,21609,Cortical layer V,C
D5761.(3).|.056.|.Full.ROI,Polydendrocyte,0.080072472,9377,21609,Cortical layer V,D
D5761.(3).|.056.|.Full.ROI,Macrophage,0.058843835,9377,21609,Cortical layer V,E
D5761.(3).|.056.|.Full.ROI,Endothelial Tip,0.005880203,9377,21609,Cortical layer V,F
D5761.(3).|.056.|.Full.ROI,Endothelial Stalk,0.035338099,9377,21609,Cortical layer V,G
D5761.(3).|.056.|.Full.ROI,Choroid Plexus,0,9377,21609,Cortical layer V,H
D5761.(3).|.056.|.Full.ROI,Oligodendrocyte,0.019165656,9377,21609,Cortical layer V,I
D5761.(3).|.056.|.Full.ROI,Ependymal,0.000823288,9377,21609,Cortical layer V,J
D5761.(3).|.056.|.Full.ROI,Mural,0,9377,21609,Cortical layer V,K
D5761.(3).|.066.|.Full.ROI,Neuron,0.527146884,5068,18013,Cortical layer V,A
D5761.(3).|.066.|.Full.ROI,Microglia,0.129369861,5068,18013,Cortical layer V,B
D5761.(3).|.066.|.Full.ROI,Astrocyte,0.09534304,5068,18013,Cortical layer V,C
D5761.(3).|.066.|.Full.ROI,Polydendrocyte,0.070739717,5068,18013,Cortical layer V,D
D5761.(3).|.066.|.Full.ROI,Macrophage,0.063966279,5068,18013,Cortical layer V,E
D5761.(3).|.066.|.Full.ROI,Endothelial Tip,0.048670356,5068,18013,Cortical layer V,F
D5761.(3).|.066.|.Full.ROI,Endothelial Stalk,0.028286771,5068,18013,Cortical layer V,G
D5761.(3).|.066.|.Full.ROI,Choroid Plexus,3.47E-05,5068,18013,Cortical layer V,H
D5761.(3).|.066.|.Full.ROI,Oligodendrocyte,0.010207978,5068,18013,Cortical layer V,I
D5761.(3).|.066.|.Full.ROI,Ependymal,0.004898273,5068,18013,Cortical layer V,J
D5761.(3).|.066.|.Full.ROI,Mural,0.021336149,5068,18013,Cortical layer V,K
D5761.(3).|.051.|.NeuN+,Neuron,0.82470066,5997,19241,Cortical layer V - NeuN+,A
D5761.(3).|.051.|.NeuN+,Microglia,0.073296372,5997,19241,Cortical layer V - NeuN+,B
D5761.(3).|.051.|.NeuN+,Astrocyte,0.017181323,5997,19241,Cortical layer V - NeuN+,C
D5761.(3).|.051.|.NeuN+,Polydendrocyte,0.045453855,5997,19241,Cortical layer V - NeuN+,D
D5761.(3).|.051.|.NeuN+,Macrophage,0.021673785,5997,19241,Cortical layer V - NeuN+,E
D5761.(3).|.051.|.NeuN+,Endothelial Tip,0,5997,19241,Cortical layer V - NeuN+,F
D5761.(3).|.051.|.NeuN+,Endothelial Stalk,0.003547542,5997,19241,Cortical layer V - NeuN+,G
D5761.(3).|.051.|.NeuN+,Choroid Plexus,0,5997,19241,Cortical layer V - NeuN+,H
