FC,Significance,GeneNames,Color
1.37242061790525,4.3092991663436,,#f0e442
-2.17455347448409,3.50516203630494,,#01513b
2.29717910907982,3.37867976103955,,#f0e442
1.78921799924965,3.88087409572285,,#f0e442
2.48619263998778,3.17342784382403,,#f0e442
-3.40812426182156,2.2460115718135,,#01513b
2.05241528912386,3.58996693542233,,#f0e442
-1.40702923312768,4.2268083890728,,#01513b
-2.00904681267555,3.62257427230251,,#01513b
1.80538805491104,3.82453727863321,,#f0e442
3.44621092253257,2.18331825141692,,#f0e442
2.1882850571311,3.44051497507755,,#f0e442
-2.75887634086537,2.85786339844705,,#01513b
-2.64449874356386,2.9681839707452,,#01513b
2.56581675837438,3.04110698450537,,#f0e442
2.66727347854146,2.93057166244066,,#f0e442
2.347880203773,3.240453329921,,#f0e442
-1.80552681538229,3.77982604696734,,#01513b
2.51800306506051,3.06395510043432,,#f0e442
2.25392038850471,3.3093182470869,,#f0e442
2.04601814614575,3.51013917584979,,#f0e442
1.40236159467801,4.14579890780361,,#f0e442
-2.38269720222163,3.16163344237851,,#01513b
-3.1971295899602,2.34447817403871,,#01513b
-1.8779384157818,3.64618641900826,,#01513b
-2.47412437518983,3.04879838273326,,#01513b
2.86988129805145,2.64982983601816,,#f0e442
2.66829293343846,2.83600789740006,,#f0e442
-3.62192560870938,1.88182241470563,,#01513b
-2.77568996506413,2.72746090350674,,#01513b
-3.09260482602636,2.40644878729917,,#01513b
-2.79474599889424,2.70064798268005,,#01513b
-3.46047015441603,2.02247026467785,,#01513b
2.84915544977158,2.60717210878582,,#f0e442
2.93952468522807,2.49362536799788,,#f0e442
-1.44529408903768,3.98526666048567,,#01513b
-2.62022534687523,2.80684578838116,,#01513b
-2.23391087736486,3.17518376109003,,#01513b
-2.88415251987896,2.52011339018454,,#01513b
-2.74544537315028,2.65594795458288,,#01513b
2.66369100026345,2.72954658431957,,#f0e442
-3.26940287357719,2.12379942649238,,#01513b
2.62422609999604,2.76887989355463,,#f0e442
2.31766831998561,3.07523742960459,,#f0e442
-2.36595874800451,3.01730073223316,,#01513b
2.68109902386684,2.68032248268158,,#f0e442
-2.4206313977916,2.93921882792661,,#01513b
0.898430822670482,4.45607510537148,,#f0e442
1.93694549735063,3.41359126117642,,#f0e442
2.86750257095757,2.48146591218029,,#f0e442
2.65627734122349,2.68973522094013,,#f0e442
3.39899243311275,1.92926913772907,,#f0e442
2.59000457791753,2.73816828457353,,#f0e442
-1.99389714719569,3.32685485731157,,#01513b
-3.06709639078388,2.25032284613482,,#01513b
1.27958560322285,4.03452098086601,,#f0e442
2.1119070573926,3.18851109007138,,#f0e442
-3.19830664235815,2.10181361917647,,#01513b
2.556381635301,2.73302142052722,,#f0e442
2.53884342657986,2.74765628307012,,#f0e442
2.67574716956947,2.60850741883578,,#f0e442
2.93555616735713,2.3418293199032,,#f0e442
-1.85226871878396,3.42409063655183,,#01513b
2.57601286498552,2.69696610500174,,#f0e442
-2.51002244083585,2.74771891303768,,#01513b
-2.84736338860815,2.39790899287825,,#01513b
1.82803767069016,3.4150714091232,,#f0e442
1.42196249165522,3.80644885491419,,#f0e442
2.8945481585327,2.31903496300701,,#f0e442
3.290768679874,1.91633637955863,,#f0e442
1.49432043986563,3.7121200127424,,#f0e442
2.95118982568014,2.25397744875441,,#f0e442
-2.89932652811566,2.3033191317773,,#01513b
-2.54504978952171,2.64463416058553,,#01513b
2.40452187092044,2.76554230770188,,#f0e442
1.81869246911106,3.34759066685857,,#f0e442
2.54618552868986,2.59411751275584,,#f0e442
-2.93196632737576,2.20697879973263,,#01513b
1.85593833156885,3.27662954833498,,#f0e442
1.8265176236682,3.29953476697655,,#f0e442
-2.94354328864007,2.1794302147334,,#01513b
-0.936272480578072,4.18502668579965,,#01513b
-2.27846733311214,2.83978518534477,,#01513b
2.6824642487267,2.42889989642064,,#f0e442
2.50808728392916,2.59727110129782,,#f0e442
2.65740465784635,2.42737281342808,,#f0e442
-2.44287695641934,2.63729885845323,,#01513b
-3.3927937931223,1.68521979598161,,#01513b
2.97082105536467,2.10685387817044,,#f0e442
-3.03514542499687,2.04205246590557,,#01513b
-2.27947765565129,2.79540385029431,,#01513b
2.35394724344407,2.71157561663248,,#f0e442
2.44842999293879,2.61665772001857,,#f0e442
-2.05932384925587,2.99171389589909,,#01513b
1.97712712356121,3.06488596565398,,#f0e442
2.06512309537295,2.97598926849999,,#f0e442
2.56742005125515,2.47266304410489,,#f0e442
-3.43888789479946,1.6002747936483,,#01513b
2.00216989657984,3.03459777046884,,#f0e442
1.76342991431027,3.26412781668827,,#f0e442
-0.983065147532702,4.03093518457482,,#01513b
-1.30857983230649,3.70343391972299,,#01513b
2.53166032541261,2.48013219051859,,#f0e442
-1.65749936250148,3.33609318623947,,#01513b
-2.29208586460162,2.69729486310731,,#01513b
-1.6503888581912,3.33409259586694,,#01513b
1.67704641150691,3.30298403234001,,#f0e442
2.3033843351356,2.67064544638424,,#f0e442
3.19224309056053,1.77982240742498,,#f0e442
-1.86080875500407,3.11055010327958,,#01513b
-2.98106842962364,1.98299892960488,,#01513b
0.935073924411148,4.02753481457826,,#f0e442
2.0103692208642,2.95126391907237,,#f0e442
-1.72658916111451,3.23328225411569,,#01513b
-2.5558569487525,2.39732519685478,,#01513b
2.51000976644762,2.4267988922011,,#f0e442
2.78817713210594,2.14834962342524,,#f0e442
2.53155039322629,2.39662251715134,,#f0e442
-2.48403941422216,2.43518142111207,,#01513b
-1.62572199770994,3.29025822409776,,#01513b
-1.92988212490813,2.9852658760801,,#01513b
-2.20429646949695,2.70304563015333,,#01513b
1.51356575324314,3.38711203891612,,#f0e442
-0.885392077499716,4.01469429545589,,#01513b
1.54087168073352,3.35760962464289,,#f0e442
2.03503608134546,2.85683737530241,,#f0e442
2.60430916418103,2.2834310809707,,#f0e442
-1.4356870614152,3.45049158447193,,#01513b
1.64998035121073,3.23392204007179,,#f0e442
-2.83258887986069,2.04441714849406,,#01513b
-2.43186735629018,2.4412580580296,,#01513b
-1.78043338932437,3.09063943843163,,#01513b
-2.91820919350891,1.94771196023211,,#01513b
-2.66495771322967,2.18178524738334,,#01513b
-1.53936509435384,3.30224468038202,,#01513b
1.97839441419803,2.86209540356901,,#f0e442
-1.83133586747843,2.99536574977789,,#01513b
1.67758686064375,3.1312673991871,,#f0e442
-1.86026604154283,2.94534847372093,,#01513b
1.64411553014151,3.14664424121604,,#f0e442
-2.35670980208488,2.43325567850043,,#01513b
-2.21838803737596,2.55906295882365,,#01513b
-2.30037411127109,2.47585350446211,,#01513b
-1.27708066229598,3.4949704580957,,#01513b
-2.21893612652161,2.5485690482837,,#01513b
-2.53844696249498,2.19320751992427,,#01513b
1.75620232543976,2.97381796355064,,#f0e442
-2.80787777535589,1.91933733152981,,#01513b
1.88763264906597,2.83244740351468,,#f0e442
2.41729652712478,2.29724907618439,,#f0e442
1.78364530584073,2.91602343879521,,#f0e442
2.32773491915234,2.36668265135983,,#f0e442
-2.56872203052336,2.1240491478749,,#01513b
-1.83360425496469,2.85502771480396,,#01513b
-1.48829855334265,3.19950999273193,,#01513b
-1.74038579209415,2.93280210500283,,#01513b
2.04370115085644,2.62898905269179,,#f0e442
-2.21755095384146,2.45450568580124,,#01513b
2.57601286498552,2.09369888310624,,#f0e442
1.41021304204008,3.25676792352307,,#f0e442
-1.90636112835881,2.75786424026946,,#01513b
1.71719783530513,2.94666701367875,,#f0e442
1.94601573497546,2.71392506675055,,#f0e442
-1.27465523554661,3.38313932914848,,#01513b
-1.74038579209415,2.9163579443663,,#01513b
2.30060987415248,2.35136452103563,,#f0e442
2.95118982568014,1.70021761999068,,#f0e442
-2.01551419531234,2.63096827800715,,#01513b
0.571493191534442,4.07058865706633,,#f0e442
0.773691465404468,3.85926909664432,,#f0e442
1.96259506412611,2.66835319940859,,#f0e442
1.06519838597253,3.56278632312498,,#f0e442
-2.52583183398522,2.10048422896173,,#01513b
2.8662518593372,1.75870484816112,,#f0e442
1.50211331459673,3.11791499662738,,#f0e442
2.06716426015358,2.55156222782028,,#f0e442
1.85830294535241,2.76011587807829,,#f0e442
2.33793102576348,2.2753583803787,,#f0e442
-2.76311177015606,1.84724032319844,,#01513b
1.41541305443027,3.19464836066159,,#f0e442
1.61680611330462,2.99024784154662,,#f0e442
1.44124242923282,3.16284568727684,,#f0e442
-2.04466847572912,2.55794915229906,,#01513b
1.18952611365598,3.40900284695495,,#f0e442
-2.84677107315139,1.74547637201006,,#01513b
2.46471261946771,2.12396928273849,,#f0e442
-0.403817829270597,4.18036203577537,,#d3d3d3
-1.60106351532165,2.98263246528156,,#01513b
2.23151093058028,2.3447780245526,,#f0e442
1.89099907713287,2.6759512314249,,#f0e442
-2.21276120642975,2.35283662953913,,#01513b
1.44742287282751,3.11449011771933,,#f0e442
-2.18809434594849,2.36740217827089,,#01513b
-1.7926374582777,2.76172666424896,,#01513b
-1.53573890489502,3.01848799946373,,#01513b
-2.2918415227607,2.24205517076946,,#01513b
-1.54952620000571,2.98011844194496,,#01513b
-2.32597032228988,2.20113597231984,,#01513b
1.417522321685,3.10831732354267,,#f0e442
-1.71733707174723,2.80583599754276,,#01513b
1.12057212690358,3.40259932381088,,#f0e442
1.56121482519937,2.95729886967314,,#f0e442
1.79700120255966,2.71769813391337,,#f0e442
-2.0831028055322,2.43014507451484,,#01513b
0.93913195482898,3.57235901972715,,#f0e442
-1.73604640920673,2.76924206022009,,#01513b
-1.25864125180649,3.24093492613122,,#01513b
-3.09342934041392,1.40515296382736,,#01513b
-2.25859571434639,2.22283375205012,,#01513b
-1.580873426368,2.89959169750765,,#01513b
-2.38662801967099,2.09132079842492,,#01513b
-1.57026810105447,2.90242834543051,,#01513b
-1.58487586017557,2.88678658808754,,#01513b
-1.60440310059664,2.8593164356944,,#01513b
1.73273921614262,2.73016863308974,,#f0e442
-1.69649824370719,2.76180820834893,,#01513b
2.59439338304968,1.863046967453,,#f0e442
-1.64765905892009,2.80467369169319,,#01513b
-1.95981528154851,2.49208884707085,,#01513b
1.83462641581531,2.61425720855399,,#f0e442
-2.3481628749027,2.09046786746554,,#01513b
-2.04869275316265,2.3840822690458,,#01513b
1.86882553835855,2.5605072051733,,#f0e442
-1.99993707229154,2.42914575910872,,#01513b
2.42286899210642,2.00473363586831,,#f0e442
-1.65636226764273,2.76915368646437,,#01513b
2.24005678387441,2.1842894565528,,#f0e442
2.00185752349516,2.42174445510757,,#f0e442
-2.42436488982032,1.99531558767329,,#01513b
2.29632112785854,2.12176933369445,,#f0e442
-2.02374767552179,2.39156307963711,,#01513b
-2.69938639362427,1.71264498789164,,#01513b
2.15375068475389,2.25652642830879,,#f0e442
1.90703972700559,2.50143625305691,,#f0e442
1.75620232543976,2.64989303220399,,#f0e442
1.39371471168964,2.99829301650495,,#f0e442
2.75834441515957,1.63171742308816,,#f0e442
-2.02964834276627,2.35970121144223,,#01513b
-2.00351022249739,2.38201612449911,,#01513b
-1.67474728698728,2.70671613958192,,#01513b
-2.580873426368,1.79522937337956,,#01513b
-1.30841904993876,3.06478236360401,,#01513b
1.25715028552231,3.11568934080879,,#f0e442
-1.71535941982932,2.65334791575934,,#01513b
1.65186147821793,2.71294820520809,,#f0e442
-2.52045998814461,1.84235807586466,,#01513b
-2.0405206599603,2.32211545491724,,#01513b
-1.64122861271717,2.72029460128543,,#01513b
-2.86585370833658,1.49527863288846,,#01513b
-1.43789800793552,2.92019805031847,,#01513b
-1.54871728754086,2.80882359120586,,#01513b
-1.48636693371781,2.87062472908026,,#01513b
-1.65114439384852,2.70563319230343,,#01513b
2.49699979921857,1.85668541720516,,#f0e442
-1.81551546021801,2.53308939276401,,#01513b
-1.57701358673637,2.77125427178993,,#01513b
-2.06733368730842,2.26918499714351,,#01513b
-1.98170160726214,2.35297418753691,,#01513b
1.71150469357733,2.61519130539609,,#f0e442
-2.4148037286524,1.90373120620852,,#01513b
-1.8314928552455,2.48596908050667,,#01513b
