Sample_ID,Cell_type,Proportion,X_position,Y_position,type,Order
D5761.(3).|.070.|.NeuN+,Endothelial Stalk,0.0086016,10636,22526,Cortical layer IV - NeuN+,G
D5761.(3).|.070.|.NeuN+,Choroid Plexus,0,10636,22526,Cortical layer IV - NeuN+,H
D5761.(3).|.070.|.NeuN+,Oligodendrocyte,0,10636,22526,Cortical layer IV - NeuN+,I
D5761.(3).|.070.|.NeuN+,Ependymal,0,10636,22526,Cortical layer IV - NeuN+,J
D5761.(3).|.070.|.NeuN+,Mural,0.000824393,10636,22526,Cortical layer IV - NeuN+,K
D5761.(3).|.050.|.DNA,Neuron,0.432665031,5556,19538,Cortical layer IV - Neuropil,A
D5761.(3).|.050.|.DNA,Microglia,0.240159084,5556,19538,Cortical layer IV - Neuropil,B
D5761.(3).|.050.|.DNA,Astrocyte,0.245291618,5556,19538,Cortical layer IV - Neuropil,C
D5761.(3).|.050.|.DNA,Polydendrocyte,0,5556,19538,Cortical layer IV - Neuropil,D
D5761.(3).|.050.|.DNA,Macrophage,0,5556,19538,Cortical layer IV - Neuropil,E
D5761.(3).|.050.|.DNA,Endothelial Tip,0,5556,19538,Cortical layer IV - Neuropil,F
D5761.(3).|.050.|.DNA,Endothelial Stalk,0.044602321,5556,19538,Cortical layer IV - Neuropil,G
D5761.(3).|.050.|.DNA,Choroid Plexus,0.002806786,5556,19538,Cortical layer IV - Neuropil,H
D5761.(3).|.050.|.DNA,Oligodendrocyte,0.029289421,5556,19538,Cortical layer IV - Neuropil,I
D5761.(3).|.050.|.DNA,Ependymal,0,5556,19538,Cortical layer IV - Neuropil,J
D5761.(3).|.050.|.DNA,Mural,0.005185738,5556,19538,Cortical layer IV - Neuropil,K
D5761.(3).|.060.|.DNA,Neuron,0.428058165,7692,21379,Cortical layer IV - Neuropil,A
D5761.(3).|.060.|.DNA,Microglia,0.098818741,7692,21379,Cortical layer IV - Neuropil,B
D5761.(3).|.060.|.DNA,Astrocyte,0.298974419,7692,21379,Cortical layer IV - Neuropil,C
