FC,Significance,GeneNames,Color
-2.31669836472456,2.59288187524972,,#FFC20A
-3.14145375832354,1.76324282138326,,#FFC20A
2.4877279178328,2.41248830967159,,#5D3a9B
2.92223764585342,1.9667667555264,,#5D3a9B
-1.96413034197114,2.92143210618047,,#FFC20A
-2.68283674261023,2.20268151677703,,#FFC20A
2.44946676874952,2.43531064160013,,#5D3a9B
-3.26545471271321,1.61697511118709,,#FFC20A
-3.18850337935166,1.68176823881122,,#FFC20A
1.02653350154585,3.84028369796473,,#5D3a9B
2.20107140175913,2.6655275699275,,#5D3a9B
-2.28049470666896,2.57933048495979,,#FFC20A
-1.77940008855518,3.07558491334177,,#FFC20A
1.97887931300086,2.87502433426105,,#5D3a9B
2.78389181276047,2.06910078828474,,#5D3a9B
2.66303511963224,2.18651833608627,,#5D3a9B
2.95940708425908,1.88792820364841,,#5D3a9B
-1.15874152039928,3.67807779990063,,#FFC20A
-2.79051962087066,2.02157909185726,,#FFC20A
-2.38130993096979,2.42516008661731,,#FFC20A
-2.97493750120193,1.82456343254605,,#FFC20A
2.92821161518584,1.8680910228553,,#5D3a9B
-2.78132203711895,2.00796327776226,,#FFC20A
-1.80439871748489,2.98161696167408,,#FFC20A
-2.50002453437822,2.28394715936644,,#FFC20A
-2.00305056612318,2.7728662734968,,#FFC20A
-2.37248586051606,2.39827640248525,,#FFC20A
1.51477350540794,3.25226482167045,,#5D3a9B
1.51477350540794,3.25226482167045,,#5D3a9B
1.58430237934508,3.18265150780879,,#5D3a9B
1.84810683874127,2.91826695631216,,#5D3a9B
1.84810683874127,2.91826695631216,,#5D3a9B
2.07347696833439,2.69257326451968,,#5D3a9B
1.52267451331203,3.24233456878267,,#5D3a9B
-1.88265743274899,2.87136300113945,,#FFC20A
-1.83803135781653,2.91570029008946,,#FFC20A
2.04309433898166,2.70721621892145,,#5D3a9B
-1.25637517175206,3.49348827746848,,#FFC20A
-2.53429480290614,2.21497642833171,,#FFC20A
-1.4420147344532,3.30420490868583,,#FFC20A
-2.86762813623947,1.87595474398355,,#FFC20A
-1.72493625103667,3.01046777341114,,#FFC20A
2.52957154519409,2.20137967298954,,#5D3a9B
1.98252941285437,2.7422001691032,,#5D3a9B
2.3939168122797,2.32656322117856,,#5D3a9B
2.65311933850088,2.06725991302989,,#5D3a9B
1.72725014561303,2.99101213939658,,#5D3a9B
2.70976100564832,2.00346003525667,,#5D3a9B
-3.0075814304847,1.70259654784047,,#FFC20A
2.73722168630697,1.97270517105453,,#5D3a9B
2.35207318491841,2.35157694898223,,#5D3a9B
2.31221264633419,2.38536451027227,,#5D3a9B
3.14141468807735,1.5557565141207,,#5D3a9B
-2.5951586073323,2.100215218016,,#FFC20A
2.1172251460938,2.56363143274988,,#5D3a9B
-1.95678823986114,2.72202186442659,,#FFC20A
-1.38997500048077,3.2818831394736,,#FFC20A
-1.12399349584215,3.54647297561354,,#FFC20A
2.31978600516755,2.34861049063529,,#5D3a9B
-2.03915252718273,2.62818018115758,,#FFC20A
-2.22059269925733,2.43471678763465,,#FFC20A
2.50259821339957,2.14992872222563,,#5D3a9B
2.09376203679667,2.54805028622906,,#5D3a9B
2.53823661470507,2.10305470819348,,#5D3a9B
-1.51703691966479,3.12301575878427,,#FFC20A
1.98645267183422,2.64115211161406,,#5D3a9B
1.98645267183422,2.64115211161406,,#5D3a9B
1.98645267183422,2.64115211161406,,#5D3a9B
1.98645267183422,2.64115211161406,,#5D3a9B
1.98645267183422,2.64115211161406,,#5D3a9B
1.84810683874127,2.77419119675408,,#5D3a9B
2.36288034414921,2.25648621888278,,#5D3a9B
1.9689635318695,2.64733979026397,,#5D3a9B
-1.19668018927893,3.39232880738609,,#FFC20A
2.77574079818563,1.80793305153173,,#5D3a9B
-2.73581091173851,1.84551894355115,,#FFC20A
2.04309433898166,2.5301379735653,,#5D3a9B
2.04309433898166,2.5301379735653,,#5D3a9B
2.1814401720746,2.38662290466276,,#5D3a9B
2.1814401720746,2.38662290466276,,#5D3a9B
1.81707037061078,2.74315052520065,,#5D3a9B
-2.53683253094277,2.02219295204403,,#FFC20A
-2.26803050005475,2.28926012837401,,#FFC20A
-2.06261563647986,2.48974748507288,,#FFC20A
-2.35136808143464,2.18973116116041,,#FFC20A
-1.11442165567532,3.42423866797479,,#FFC20A
-1.63225975988041,2.89982721085061,,#FFC20A
-2.08010477644457,2.45140100675118,,#FFC20A
2.55326591121458,1.96481696387282,,#5D3a9B
-2.33930730266575,2.17816630254071,,#FFC20A
-1.74658966335214,2.76714267233532,,#FFC20A
-1.98251086003529,2.53019633564299,,#FFC20A
-1.53448779033386,2.97811590757418,,#FFC20A
2.23808183922204,2.2704960083318,,#5D3a9B
2.23808183922204,2.2704960083318,,#5D3a9B
2.23808183922204,2.2704960083318,,#5D3a9B
-1.3416521505847,3.16683727031048,,#FFC20A
-1.53426239844894,2.9595795586851,,#FFC20A
-1.83695114729596,2.6532543977785,,#FFC20A
1.43526390026082,3.05473619158998,,#5D3a9B
-1.63700223469358,2.85290155588987,,#FFC20A
-2.48362710509112,2.00489653342532,,#FFC20A
2.27332513759357,2.20607874442083,,#5D3a9B
-2.0938111055531,2.38209306194347,,#FFC20A
2.3345840449537,2.14035006024691,,#5D3a9B
1.94742563746004,2.52465023391484,,#5D3a9B
1.77928987958546,2.69153033930913,,#5D3a9B
2.38634345344634,2.08242837317968,,#5D3a9B
-2.53714880740728,1.9309821557975,,#FFC20A
-2.3243364953739,2.14149169771675,,#FFC20A
-2.05996969667165,2.39340727510776,,#FFC20A
2.19415188170353,2.24088551116933,,#5D3a9B
2.11077003780483,2.32326869292637,,#5D3a9B
-0.986917922656401,3.43883907964776,,#FFC20A
3.00436333314681,1.41956809242544,,#5D3a9B
-1.96413034197114,2.45789354555396,,#FFC20A
-2.29746367530447,2.12138615575339,,#FFC20A
1.65311933850088,2.75051583351856,,#5D3a9B
-2.6876699325086,1.71080707546171,,#FFC20A
2.1814401720746,2.21555083489084,,#5D3a9B
2.1814401720746,2.21555083489084,,#5D3a9B
2.1814401720746,2.21555083489084,,#5D3a9B
-1.940667232674,2.45552720576028,,#FFC20A
2.12795194801019,2.26385319536149,,#5D3a9B
2.16586081879902,2.22433431930482,,#5D3a9B
-0.986530733411692,3.39966844664185,,#FFC20A
-2.38874665154482,1.99699010313067,,#FFC20A
2.53440473509246,1.84344035792704,,#5D3a9B
-1.8108330969501,2.55574911550672,,#FFC20A
-2.17251093742314,2.19298135264059,,#FFC20A
-1.76914284173075,2.59435049712061,,#FFC20A
2.15040370394411,2.20902340115016,,#5D3a9B
1.84053347990791,2.51591836868444,,#5D3a9B
2.28874953703706,2.06268648233786,,#5D3a9B
-2.7348162922589,1.61518440880203,,#FFC20A
-1.62119292924497,2.71074843274016,,#FFC20A
1.25194154047251,3.07968811951207,,#5D3a9B
2.13615810344555,2.19428026393917,,#5D3a9B
-1.98251086003529,2.33984800162321,,#FFC20A
-1.04672588601609,3.27479892223673,,#FFC20A
-1.5418681617395,2.77935646937625,,#FFC20A
2.38525174276872,1.93419887727537,,#5D3a9B
-1.89067361651834,2.41461821102387,,#FFC20A
1.84810683874127,2.45147493874695,,#5D3a9B
1.84810683874127,2.45147493874695,,#5D3a9B
1.84810683874127,2.45147493874695,,#5D3a9B
1.84810683874127,2.45147493874695,,#5D3a9B
1.84810683874127,2.45147493874695,,#5D3a9B
1.84810683874127,2.45147493874695,,#5D3a9B
1.84810683874127,2.45147493874695,,#5D3a9B
-1.6092999487848,2.68873450127632,,#FFC20A
-1.83335786771155,2.46404368355527,,#FFC20A
-2.65366494663748,1.63982488428243,,#FFC20A
-2.07018899531322,2.22320758212661,,#FFC20A
2.02954701081587,2.26011008760822,,#5D3a9B
2.48075932902077,1.80662120058341,,#5D3a9B
-1.75842449803911,2.52284309301497,,#FFC20A
1.6112757111396,2.66930896223097,,#5D3a9B
1.42633143296067,2.85399295893143,,#5D3a9B
1.048408186938,3.22504508285313,,#5D3a9B
0.562386099220167,3.70917533489483,,#5D3a9B
2.57141517255537,1.69696298753671,,#5D3a9B
-1.75060297499654,2.51756698515915,,#FFC20A
1.30068622901723,2.9665167909102,,#5D3a9B
1.78389181276047,2.47725195381874,,#5D3a9B
-1.30678258359321,2.95329335597875,,#FFC20A
1.68558840656956,2.5724451192338,,#5D3a9B
1.24806609925409,3.00822579714005,,#5D3a9B
2.16329091073381,2.09261219787669,,#5D3a9B
-1.41301627547545,2.83941605630438,,#FFC20A
-1.33701184080401,2.91411326189658,,#FFC20A
2.27657424502869,1.97331769032831,,#5D3a9B
