ROI,X_position,Y_position,gene,gene_value,type,full_gene_name
D5761.(3).|.053.|.Full.ROI,8852,23021,Cgnl1,2.14661709734813,Cortical layer I,Cgnl1
D5761.(3).|.053.|.Full.ROI,8852,23021,Gng7,2.04299736804747,Cortical layer I,Gng7
D5761.(3).|.053.|.Full.ROI,8852,23021,Lrsam1,1.04713792356349,Cortical layer I,Lrsam1
D5761.(3).|.053.|.Full.ROI,8852,23021,Etv1,-0.523209540483704,Cortical layer I,Etv1
D5761.(3).|.053.|.Full.ROI,8852,23021,Fezf2,0.301443301009379,Cortical layer I,Fezf2
D5761.(3).|.064.|.Full.ROI,4148,18512,Cryab,-0.963351711141044,Cortical layer II/III,Cryab
D5761.(3).|.064.|.Full.ROI,4148,18512,Pde4a,-1.06063631920836,Cortical layer II/III,Pde4a
D5761.(3).|.064.|.Full.ROI,4148,18512,Cyb5a,-0.941550283439514,Cortical layer II/III,Cyb5a
D5761.(3).|.064.|.Full.ROI,4148,18512,Mllt11,-0.204126153150749,Cortical layer II/III,Mllt11
D5761.(3).|.064.|.Full.ROI,4148,18512,Dkk3,-0.71862638651243,Cortical layer II/III,Dkk3
D5761.(3).|.064.|.Full.ROI,4148,18512,Ighm,-0.523340129985775,Cortical layer II/III,Ighm
D5761.(3).|.064.|.Full.ROI,4148,18512,Dnajc16,0.761621446008809,Cortical layer II/III,Dnajc16
D5761.(3).|.064.|.Full.ROI,4148,18512,Tppp,0.160121795665261,Cortical layer II/III,Tppp
D5761.(3).|.064.|.Full.ROI,4148,18512,Gopc,0.433423894409779,Cortical layer II/III,Gopc
D5761.(3).|.064.|.Full.ROI,4148,18512,Cltc,-0.00227229157218003,Cortical layer II/III,Cltc
D5761.(3).|.064.|.Full.ROI,4148,18512,Pfn2,0.0852282757183911,Cortical layer II/III,Pfn2
D5761.(3).|.064.|.Full.ROI,4148,18512,Ap3s1,-0.400839211526445,Cortical layer II/III,Ap3s1
D5761.(3).|.064.|.Full.ROI,4148,18512,Pcmt1,0.719566747717266,Cortical layer II/III,Pcmt1
D5761.(3).|.064.|.Full.ROI,4148,18512,Rab12,0.320278150268407,Cortical layer II/III,Rab12
D5761.(3).|.064.|.Full.ROI,4148,18512,Gucy1b1,1.43881908522695,Cortical layer II/III,Gucy1b1
